IDTrack,t,y,x,IDCell
33,7,83.24107142857143,1019.1787574404761,4
33,5,89.21548546915594,1028.1226209896683,6
33,8,95.52351890443585,1011.4681122027058,5
33,4,87.725471816023,1026.3498937632796,6
33,6,82.73296461236411,1022.5867691423646,5
33,9,98.35872944016901,1014.4224385091294,5
34,1,502.1304527599752,1253.5450003445662,22
34,6,511.1229218820207,1254.6073239617433,24
34,7,512.619733924612,1257.5650702143384,24
34,5,503.8894917190177,1256.1812932292657,25
34,0,500.19357899458305,1281.3419418279682,21
34,9,516.7895599013747,1261.2847130746109,22
34,4,499.62694142889166,1252.951051974253,24
34,8,517.535099861578,1254.0796256014767,21
34,3,501.6147153235344,1254.2077208988005,25
34,2,501.0288084464555,1248.2689291101055,21
35,9,430.6238355483791,440.2000372624519,16
35,1,448.3512312060699,457.8508355443839,18
35,3,441.66689169837565,446.58477558201383,20
35,2,444.3110881291317,445.78016384799446,16
35,7,444.98161731413563,451.6079869600652,20
35,6,448.5875596592177,449.2987867433873,20
35,8,438.9255366036405,443.28505002424083,16
35,0,442.4760523392174,491.2455046702053,18
35,5,440.5467569734566,448.2091192978014,21
35,4,440.20735051006005,444.8260755614693,20
36,3,722.4590443686006,1318.3550625711036,34
36,4,719.2865329512894,1317.150270614454,34
36,6,722.7552734112588,1317.4238210399033,34
36,5,721.928664072633,1317.8406290531777,35
36,2,723.0219587176108,1318.354633289416,30
36,7,718.1724577252721,1317.5539726662034,33
